year,task_type,task_name,pattern_id,pattern_name,model_family,vendor,model,scenario_share,baseline_total_tokens,gross_input_tokens,cached_input_tokens,output_tokens,total_tokens,orchestration_inflation_factor,cached_discount_ratio,gross_cost_per_task,net_cost_per_task,selected_input_per_1m_usd,selected_output_per_1m_usd,selected_cached_input_per_1m_usd,selected_context_window_tokens
2023,orchestration,Multi-agent workflow review,plan_execute,Plan and execute,flagship,OpenAI,gpt-4,0.010000000000000002,123200,781200,34320.0,85200,866400,7.032467532467533,0.11,28.548000000000002,27.5184,30.0,60.0,0.0,8192
2023,orchestration,Multi-agent workflow review,planner_critic,Planner critic loop,flagship,OpenAI,gpt-4,0.005000000000000001,123200,1881200,118320.0,210000,2091200,16.974025974025974,0.17,69.036,65.4864,30.0,60.0,0.0,8192
2024,support,Customer support answer,direct_prompt,Direct prompt,budget,OpenAI,gpt-4o-mini,0.11199999999999999,3300,5600,0.0,1150,6750,2.0454545454545454,0.0,0.00153,0.00153,0.15,0.6,0.075,128000
2024,support,Customer support answer,rag_assisted,RAG assisted,budget,OpenAI,gpt-4o-mini,0.096,3300,16800,157.5,3200,20000,6.0606060606060606,0.1125,0.0044399999999999995,0.0044281875,0.15,0.6,0.075,128000
2024,support,Customer support answer,plan_execute,Plan and execute,budget,OpenAI,gpt-4o-mini,0.0704,3300,102900,2252.25,17300,120200,36.42424242424242,0.2475,0.025814999999999998,0.025646081249999998,0.15,0.6,0.075,128000
2024,support,Customer support answer,planner_critic,Planner critic loop,budget,OpenAI,gpt-4o-mini,0.041600000000000005,3300,293100,7764.75,48500,341600,103.51515151515152,0.3825,0.073065,0.07248264374999999,0.15,0.6,0.075,128000
2024,research,Research brief,direct_prompt,Direct prompt,balanced,Anthropic,claude-3-sonnet,0.098,24200,26200,0.0,4900,31100,1.2851239669421488,0.0,0.1521,0.1521,3.0,15.0,0.3,200000
2024,research,Research brief,rag_assisted,RAG assisted,balanced,Anthropic,claude-3-sonnet,0.084,24200,55800,1125.0,9000,64800,2.677685950413223,0.1125,0.3024,0.2993625,3.0,15.0,0.3,200000
2024,research,Research brief,plan_execute,Plan and execute,balanced,Anthropic,claude-3-sonnet,0.06160000000000001,24200,267600,16087.5,37200,304800,12.59504132231405,0.2475,1.3607999999999998,1.3173637500000002,3.0,15.0,0.3,200000
2024,research,Research brief,planner_critic,Planner critic loop,balanced,Anthropic,claude-3-sonnet,0.0364,24200,705600,55462.5,99600,805200,33.27272727272727,0.3825,3.6108000000000002,3.46105125,3.0,15.0,0.3,200000
2024,coding,Code patch with tests,direct_prompt,Direct prompt,balanced,Anthropic,claude-3-sonnet,0.0875,66900,65700,0.0,11550,77250,1.154708520179372,0.0,0.37034999999999996,0.37034999999999996,3.0,15.0,0.3,200000
2024,coding,Code patch with tests,rag_assisted,RAG assisted,balanced,Anthropic,claude-3-sonnet,0.075,66900,119100,2700.0,17700,136800,2.0448430493273544,0.1125,0.6228,0.61551,3.0,15.0,0.3,200000
2024,coding,Code patch with tests,plan_execute,Plan and execute,balanced,Anthropic,claude-3-sonnet,0.055,66900,486300,38610.0,60000,546300,8.165919282511211,0.2475,2.3589,2.254653,3.0,15.0,0.3,200000
2024,coding,Code patch with tests,planner_critic,Planner critic loop,balanced,Anthropic,claude-3-sonnet,0.0325,66900,1215300,133110.0,153600,1368900,20.46188340807175,0.3825,5.9498999999999995,5.590503,3.0,15.0,0.3,200000
2024,orchestration,Multi-agent workflow review,direct_prompt,Direct prompt,flagship,OpenAI,gpt-4o,0.0525,123200,116400,0.0,20600,137000,1.1120129870129871,0.0,0.891,0.891,5.0,15.0,2.5,128000
2024,orchestration,Multi-agent workflow review,rag_assisted,RAG assisted,flagship,OpenAI,gpt-4o,0.045,123200,203600,5400.0,28800,232400,1.8863636363636365,0.1125,1.45,1.4364999999999999,5.0,15.0,2.5,128000
2024,orchestration,Multi-agent workflow review,plan_execute,Plan and execute,flagship,OpenAI,gpt-4o,0.033,123200,781200,77220.0,85200,866400,7.032467532467533,0.2475,5.184,4.99095,5.0,15.0,2.5,128000
2024,orchestration,Multi-agent workflow review,planner_critic,Planner critic loop,flagship,OpenAI,gpt-4o,0.0195,123200,1881200,266220.0,210000,2091200,16.974025974025974,0.3825,12.556000000000001,11.89045,5.0,15.0,2.5,128000
2025,support,Customer support answer,direct_prompt,Direct prompt,budget,OpenAI,gpt-4.1-nano,0.0528,3300,5600,0.0,1150,6750,2.0454545454545454,0.0,0.00102,0.00102,0.1,0.4,0.025,1000000
2025,support,Customer support answer,rag_assisted,RAG assisted,budget,OpenAI,gpt-4.1-nano,0.06720000000000001,3300,16800,252.0,3200,20000,6.0606060606060606,0.18,0.00296,0.0029411000000000003,0.1,0.4,0.025,1000000
2025,support,Customer support answer,plan_execute,Plan and execute,budget,OpenAI,gpt-4.1-nano,0.072,3300,102900,3603.6,17300,120200,36.42424242424242,0.39599999999999996,0.01721,0.01693973,0.1,0.4,0.025,1000000
2025,support,Customer support answer,planner_critic,Planner critic loop,budget,OpenAI,gpt-4.1-nano,0.048,3300,293100,12423.6,48500,341600,103.51515151515152,0.612,0.04871,0.047778230000000005,0.1,0.4,0.025,1000000
2025,research,Research brief,direct_prompt,Direct prompt,balanced,OpenAI,gpt-4.1-mini,0.0528,24200,26200,0.0,4900,31100,1.2851239669421488,0.0,0.018320000000000003,0.018320000000000003,0.4,1.6,0.1,1000000
2025,research,Research brief,rag_assisted,RAG assisted,balanced,OpenAI,gpt-4.1-mini,0.06720000000000001,24200,55800,1800.0,9000,64800,2.677685950413223,0.18,0.03672,0.036180000000000004,0.4,1.6,0.1,1000000
2025,research,Research brief,plan_execute,Plan and execute,balanced,OpenAI,gpt-4.1-mini,0.072,24200,267600,25740.0,37200,304800,12.59504132231405,0.396,0.16656,0.15883799999999998,0.4,1.6,0.1,1000000
2025,research,Research brief,planner_critic,Planner critic loop,balanced,OpenAI,gpt-4.1-mini,0.048,24200,705600,88740.0,99600,805200,33.27272727272727,0.612,0.4416,0.414978,0.4,1.6,0.1,1000000
2025,coding,Code patch with tests,direct_prompt,Direct prompt,balanced,OpenAI,gpt-4.1-mini,0.066,66900,65700,0.0,11550,77250,1.154708520179372,0.0,0.044759999999999994,0.044759999999999994,0.4,1.6,0.1,1000000
2025,coding,Code patch with tests,rag_assisted,RAG assisted,balanced,OpenAI,gpt-4.1-mini,0.084,66900,119100,4320.0,17700,136800,2.0448430493273544,0.18,0.07596,0.07466400000000001,0.4,1.6,0.1,1000000
2025,coding,Code patch with tests,plan_execute,Plan and execute,balanced,OpenAI,gpt-4.1-mini,0.09,66900,486300,61776.0,60000,546300,8.165919282511211,0.396,0.29052,0.2719872,0.4,1.6,0.1,1000000
2025,coding,Code patch with tests,planner_critic,Planner critic loop,balanced,OpenAI,gpt-4.1-mini,0.06,66900,1215300,212976.0,153600,1368900,20.46188340807175,0.612,0.7318800000000001,0.6679872,0.4,1.6,0.1,1000000
2025,orchestration,Multi-agent workflow review,direct_prompt,Direct prompt,flagship,OpenAI,gpt-4.1,0.0484,123200,116400,0.0,20600,137000,1.1120129870129871,0.0,0.3976,0.3976,2.0,8.0,0.5,1000000
2025,orchestration,Multi-agent workflow review,rag_assisted,RAG assisted,flagship,OpenAI,gpt-4.1,0.06160000000000001,123200,203600,8640.0,28800,232400,1.8863636363636365,0.18,0.6376,0.62464,2.0,8.0,0.5,1000000
2025,orchestration,Multi-agent workflow review,plan_execute,Plan and execute,flagship,OpenAI,gpt-4.1,0.066,123200,781200,123552.0,85200,866400,7.032467532467533,0.396,2.2439999999999998,2.058672,2.0,8.0,0.5,1000000
2025,orchestration,Multi-agent workflow review,planner_critic,Planner critic loop,flagship,OpenAI,gpt-4.1,0.044000000000000004,123200,1881200,425952.0,210000,2091200,16.974025974025974,0.612,5.4424,4.803472,2.0,8.0,0.5,1000000
2026,support,Customer support answer,direct_prompt,Direct prompt,budget,OpenAI,gpt-4.1-nano,0.0252,3300,5600,0.0,1150,6750,2.0454545454545454,0.0,0.00102,0.00102,0.1,0.4,0.025,1000000
2026,support,Customer support answer,rag_assisted,RAG assisted,budget,OpenAI,gpt-4.1-nano,0.036,3300,16800,332.5,3200,20000,6.0606060606060606,0.2375,0.00296,0.0029350625,0.1,0.4,0.025,1000000
2026,support,Customer support answer,plan_execute,Plan and execute,budget,OpenAI,gpt-4.1-nano,0.063,3300,102900,4754.75,17300,120200,36.42424242424242,0.5225,0.01721,0.01685339375,0.1,0.4,0.025,1000000
2026,support,Customer support answer,planner_critic,Planner critic loop,budget,OpenAI,gpt-4.1-nano,0.055799999999999995,3300,293100,16392.25,48500,341600,103.51515151515152,0.8075,0.04871,0.04748058125,0.1,0.4,0.025,1000000
2026,research,Research brief,direct_prompt,Direct prompt,balanced,OpenAI,gpt-4.1-mini,0.028000000000000004,24200,26200,0.0,4900,31100,1.2851239669421488,0.0,0.018320000000000003,0.018320000000000003,0.4,1.6,0.1,1000000
2026,research,Research brief,rag_assisted,RAG assisted,balanced,OpenAI,gpt-4.1-mini,0.04000000000000001,24200,55800,2375.0,9000,64800,2.677685950413223,0.2375,0.03672,0.0360075,0.4,1.6,0.1,1000000
2026,research,Research brief,plan_execute,Plan and execute,balanced,OpenAI,gpt-4.1-mini,0.06999999999999999,24200,267600,33962.5,37200,304800,12.59504132231405,0.5225,0.16656,0.15637125000000002,0.4,1.6,0.1,1000000
2026,research,Research brief,planner_critic,Planner critic loop,balanced,OpenAI,gpt-4.1-mini,0.062,24200,705600,117087.5,99600,805200,33.27272727272727,0.8075,0.4416,0.40647374999999997,0.4,1.6,0.1,1000000
2026,coding,Code patch with tests,direct_prompt,Direct prompt,balanced,OpenAI,gpt-4.1-mini,0.044800000000000006,66900,65700,0.0,11550,77250,1.154708520179372,0.0,0.044759999999999994,0.044759999999999994,0.4,1.6,0.1,1000000
2026,coding,Code patch with tests,rag_assisted,RAG assisted,balanced,OpenAI,gpt-4.1-mini,0.064,66900,119100,5700.0,17700,136800,2.0448430493273544,0.2375,0.07596,0.07425000000000001,0.4,1.6,0.1,1000000
2026,coding,Code patch with tests,plan_execute,Plan and execute,balanced,OpenAI,gpt-4.1-mini,0.11199999999999999,66900,486300,81510.0,60000,546300,8.165919282511211,0.5225,0.29052,0.266067,0.4,1.6,0.1,1000000
2026,coding,Code patch with tests,planner_critic,Planner critic loop,balanced,OpenAI,gpt-4.1-mini,0.0992,66900,1215300,281010.0,153600,1368900,20.46188340807175,0.8075,0.7318800000000001,0.647577,0.4,1.6,0.1,1000000
2026,orchestration,Multi-agent workflow review,direct_prompt,Direct prompt,flagship,OpenAI,gpt-4.1,0.042,123200,116400,0.0,20600,137000,1.1120129870129871,0.0,0.3976,0.3976,2.0,8.0,0.5,1000000
2026,orchestration,Multi-agent workflow review,rag_assisted,RAG assisted,flagship,OpenAI,gpt-4.1,0.06,123200,203600,11400.0,28800,232400,1.8863636363636365,0.2375,0.6376,0.6205,2.0,8.0,0.5,1000000
2026,orchestration,Multi-agent workflow review,plan_execute,Plan and execute,flagship,OpenAI,gpt-4.1,0.105,123200,781200,163020.0,85200,866400,7.032467532467533,0.5225,2.2439999999999998,1.9994699999999999,2.0,8.0,0.5,1000000
2026,orchestration,Multi-agent workflow review,planner_critic,Planner critic loop,flagship,OpenAI,gpt-4.1,0.093,123200,1881200,562020.0,210000,2091200,16.974025974025974,0.8075,5.4424,4.5993699999999995,2.0,8.0,0.5,1000000
